,ReportDate,Region,CaseCategory,INTERNALDESC,Total_Cases,Filed,Pending_At_TakeOver,Abandoned,Granted,Transferred,Withdrawn,Closed,Granted_At_TakeOver,Coalesced_Closed_Events,PROPERTYTYPE,CaseRefs (0-1),CaseRefs (1-2),CaseRefs (2-4),CaseRefs (4-8),CaseRefs (8-16),CaseRefs (16+)
0,2019-10-31 00:00:00,EP,Patent,Pending,6104,5491,510,0,0,0,0,0,0,0,P,,,,,,
1,2019-10-31 00:00:00,Foreign,Patent,Pending,3526,3133,293,0,0,0,0,0,0,0,P,,,,,,
2,2019-10-31 00:00:00,GB,Patent,Pending,285,275,7,0,0,0,0,0,0,0,P,,,,,,
3,2019-10-31 00:00:00,PCT,Patent,Pending,242,185,44,0,0,0,0,0,0,0,P,,,,,,
4,2019-11-30 00:00:00,EP,Patent,Pending,6135,5609,526,0,0,0,0,0,0,0,P,,,,,,
5,2019-11-30 00:00:00,Foreign,Patent,Pending,3515,3203,302,0,0,0,0,0,0,0,P,,,,,,
6,2019-11-30 00:00:00,GB,Patent,Pending,284,276,8,0,0,0,0,0,0,0,P,,,,,,
7,2019-11-30 00:00:00,PCT,Patent,Pending,236,190,46,0,0,0,0,0,0,0,P,,,,,,
8,2019-12-31 00:00:00,EP,Patent,Pending,6240,5692,548,0,0,0,0,0,0,0,P,,,,,,
9,2019-12-31 00:00:00,Foreign,Patent,Pending,3519,3225,289,0,0,0,0,0,4,0,P,,,,,,
10,2019-12-31 00:00:00,GB,Patent,Pending,298,285,13,0,0,0,0,0,0,0,P,,,,,,
11,2019-12-31 00:00:00,PCT,Patent,Pending,254,206,48,0,0,0,0,0,0,0,P,,,,,,
12,2020-01-31 00:00:00,EP,Patent,Pending,6180,5621,559,0,0,0,0,0,0,0,P,,,,,,
13,2020-01-31 00:00:00,Foreign,Patent,Pending,3528,3181,343,0,0,0,0,0,4,0,P,,,,,,
14,2020-01-31 00:00:00,GB,Patent,Pending,240,227,13,0,0,0,0,0,0,0,P,,,,,,
15,2020-01-31 00:00:00,PCT,Patent,Pending,253,213,40,0,0,0,0,0,0,0,P,,,,,,
16,2020-02-29 00:00:00,EP,Patent,Pending,6184,5632,552,0,0,0,0,0,0,0,P,,,,,,
17,2020-02-29 00:00:00,Foreign,Patent,Pending,3531,3175,356,0,0,0,0,0,0,0,P,,,,,,
18,2020-02-29 00:00:00,GB,Patent,Pending,219,199,20,0,0,0,0,0,0,0,P,,,,,,
19,2020-02-29 00:00:00,PCT,Patent,Pending,255,216,39,0,0,0,0,0,0,0,P,,,,,,
20,2020-03-31 00:00:00,EP,Patent,Pending,6174,5647,527,0,0,0,0,0,0,0,P,,,,,,
21,2020-03-31 00:00:00,Foreign,Patent,Pending,3431,3093,338,0,0,0,0,0,0,0,P,,,,,,
22,2020-03-31 00:00:00,GB,Patent,Pending,214,194,20,0,0,0,0,0,0,0,P,,,,,,
23,2020-03-31 00:00:00,PCT,Patent,Pending,253,214,39,0,0,0,0,0,0,0,P,,,,,,
