,ReportDate,Region,CaseCategory,INTERNALDESC,Total_Cases,Filed,Pending_At_TakeOver,Abandoned,Granted,Transferred,Withdrawn,Closed,Granted_At_TakeOver,Coalesced_Closed_Events,PROPERTYTYPE,CaseRefs (0-1),CaseRefs (1-2),CaseRefs (2-4),CaseRefs (4-8),CaseRefs (8-16),CaseRefs (16+)
14,2019-10-31 00:00:00,Foreign,Patent,File Closed,4854,3829,526,1335,1175,241,0,332,1750,3057,P,,,,,,
15,2019-10-31 00:00:00,Foreign,Patent,File Destroyed,1122,953,2,483,272,26,0,158,90,904,P,,,,,,
16,2019-10-31 00:00:00,Foreign,Patent,File Microfilmed/Scanned,8963,7183,1555,4090,2988,859,0,381,809,8168,P,,,,,,
17,2019-10-31 00:00:00,Foreign,Patent,Never filed,63,0,0,40,0,1,0,0,0,41,P,,,,,,
18,2019-10-31 00:00:00,Foreign,Patent,Not yet filed,321,0,0,0,0,0,0,0,0,0,P,,,,,,
19,2019-10-31 00:00:00,Foreign,Patent,Opened for WIP Only,107,87,13,32,62,8,0,2,4,104,P,,,,,,
20,2019-10-31 00:00:00,Foreign,Patent,Pending,3526,3133,293,0,0,0,0,0,0,0,P,,,,,,
21,2019-10-31 00:00:00,Foreign,Patent,Registered,487,295,39,0,298,1,0,0,212,298,P,,,,,,
22,2019-10-31 00:00:00,Foreign,Patent,Transferred elsewhere,218,162,37,7,38,201,0,1,10,213,P,,,,,,
23,2019-10-31 00:00:00,GB,Patent,Abandoned by client,103,96,0,96,0,0,16,0,0,96,P,,,,,,
24,2019-10-31 00:00:00,GB,Patent,Dead,5044,5004,0,2343,0,8,85,19,2661,2370,P,,,,,,
25,2019-10-31 00:00:00,GB,Patent,File Closed,2298,2228,26,1287,81,31,54,97,845,1495,P,,,,,,
26,2019-10-31 00:00:00,GB,Patent,File Destroyed,104,89,2,57,4,3,5,9,18,73,P,,,,,,
27,2019-10-31 00:00:00,GB,Patent,File Microfilmed/Scanned,1668,1549,71,828,438,124,123,86,144,1487,P,,,,,,
28,2019-10-31 00:00:00,GB,Patent,Never filed,1,0,0,0,0,0,0,0,0,0,P,,,,,,
